,indenização_count,revisão_count,tarifa_count,file,label
162,0,1,6,../data/VAC0973766_1.txt,tarifa
163,0,0,4,../data/VAC0895652_1.txt,tarifa
164,1,0,15,../data/VAC0929785_1.txt,tarifa
165,0,0,0,../data/VAC0922727_1.txt,
166,0,0,0,../data/VAC0928885_1.txt,
167,15,2,1,../data/VAC0721106_2.txt,indenização
168,1,0,0,../data/VAC0923096_1.txt,indenização
169,4,0,0,../data/VAC0623030_1.txt,indenização
170,0,0,0,../data/VAC0963927_1.txt,
171,0,8,10,../data/VAC0703286_2.txt,tarifa
172,0,50,2,../data/VAC0842576_1.txt,revisão
173,0,5,20,../data/VAC0689992_1.txt,tarifa
174,2,0,4,../data/VAC0847428_1.txt,tarifa
175,0,5,20,../data/VAC1018594_1.txt,tarifa
176,0,22,0,../data/VAC0888428_2.txt,revisão
177,0,0,0,../data/VAC0843388_1.txt,
178,0,1,3,../data/VAC0675068_1.txt,tarifa
179,0,41,10,../data/VAC0676656_1.txt,revisão
180,0,0,2,../data/VAC0678340_1.txt,tarifa
181,0,0,0,../data/VAC0999896_1.txt,
182,0,0,0,../data/VAC0961767_1.txt,
183,3,0,0,../data/VAC0984028_1.txt,indenização
184,0,24,9,../data/VAC1034715_1.txt,revisão
185,7,0,1,../data/VAC0915168_1.txt,indenização
186,0,0,0,../data/VAC0380250_1.txt,
187,0,20,21,../data/VAC0714109_1.txt,tarifa
188,0,4,9,../data/VAC0957845_1.txt,tarifa
189,0,3,1,../data/VAC0871928_1.txt,revisão
190,4,0,0,../data/VAC0899067_1.txt,indenização
191,1,0,0,../data/VAC0914599_1.txt,indenização
192,0,2,10,../data/VAC0971192_1.txt,tarifa
193,0,5,19,../data/VAC0888170_1.txt,tarifa
194,0,0,0,../data/VAC0360497_1.txt,
195,0,5,5,../data/VAC0954412_1.txt,
196,0,0,0,../data/VAC0912813_1.txt,
197,0,0,0,../data/VAC0957669_1.txt,
198,0,2,19,../data/VAC0727035_1.txt,tarifa
199,0,9,7,../data/VAC0918975_1.txt,revisão
200,0,0,0,../data/VAC1012097_1.txt,
201,0,0,0,../data/VAC0686515_1.txt,
202,6,0,0,../data/VAC0988890_1.txt,indenização
203,2,0,4,../data/VAC0595900_1.txt,tarifa
204,0,23,25,../data/VAC0905710_1.txt,tarifa
205,0,0,0,../data/VAC0834306_1.txt,
206,0,0,0,../data/VAC1030928_1.txt,
207,2,0,0,../data/VAC1010907_1.txt,indenização
208,10,0,0,../data/VAC0940246_1.txt,indenização
209,0,25,0,../data/VAC0989954_1.txt,revisão
210,0,57,0,../data/VAC0965567_1.txt,revisão
211,0,2,0,../data/VAC0582283_1.txt,revisão
212,0,6,0,../data/VAC0958822_1.txt,revisão
213,0,7,6,../data/VAC0956695_1.txt,revisão
214,5,0,0,../data/VAC0887462_1.txt,indenização
215,0,13,1,../data/VAC0797779_1.txt,revisão
216,1,0,0,../data/VAC0735705_1.txt,indenização
217,0,9,0,../data/VAC0167463_1.txt,revisão
218,0,0,0,../data/VAC0460009_1.txt,
219,0,9,11,../data/VAC0979873_1.txt,tarifa
